trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,9,18.992073171627027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,2,32.71089038758854,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.1224564282529819}",25,8,16.899003814432202,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.12003162851145673}",30,13,20.085268566784944,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11765484302177918}",20,10,7.528683683281039,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,14,20.782543195665184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11304153064044985}",20,14,1.239984247333362,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,12,3.1931450942543265,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10860910882495796}",20,14,12.818974516808423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,2,23.959835303096366,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
